Headband of Intellect (+6);36000g;
Large Iron Box;2g;100 lb.
Small Cask of Tobacco;2g;8 lb.
Azurite;12g;gem
Blue Diamond;5000g;gem
Bag of Chestnuts;1g;1 lb.
Wheel of Cheese;16g;80 lb.
Red Garnet;110g;gem
Black Pearl;300g;gem
Bottle of Brandywine;5g;4 lb.
Light Catapult;550g;
Arcane Scroll (sleep);25g;
Arcane Scroll (Invisibility);150g;
Sack of Apples;5g;50 lb.Can be bought in fractions. 1g = 10 lb.
Skooma;41g;For 8 hours, gain advantage on all Charisma checks but disadvantage on all Intelligence, Dexterity, and Wisdom checks.
Potion of Cat Agility;232g;Increases dexterity to 21 for 1 hour.
Armor Potion (Standard);88g;User's AC cannot fall below 13 + dexterity mod for 1 day.
Potion of Giant Strength;287g;Increases strength to 21 for 1 hour.
Blade of Olympus;970g;Weapon (greatsword). Requires 16 strength to wield. If you hit a Huge or larger creature with this magic greatsword, you deal an extra 2d6 damage.
Holy Arrow;10g; Weapon (arrow). These arrows shine with a holy brilliance. On hit, deals 1d8 radiant damage. An evil-aligned target must pass a DC15 wisdom saving throw or be frightened of the attacker for 10 rounds or until the line of sight is broken.
True Wand;31500g;This wand can be used as an arcane focus. If you can castsells with an arcane focus and use this wand for yoursells, yoursells require no material components that cost less than 1000g. Additionally, when you cast asell using this wand as your arcane focus, roll an ability check with yoursellcasting ability score. If you roll higher than 11 + thesell's level, you cast thesell without using asellslot. This fails if you have nosellslots remaining of thesell's level and therefore couldn't cast without succeeding.
Ring of Keys;3120g;This golden ring appears non-magical at first glance. While wearing it, you can use your action to touch an object andseak the command word to unlock any mundane lock.
Bottle of Fine Wine;8g;
Ghost Fungus (1 shroom);1g;A funnel shaped mushroom shining brightly enough in the dark to read by
Flute;1g;
Book of Elementary Mathematics - Second Edition;25g;Second Edition
Set of bagpipes;30g;
45 Gallons of ale;9g;Comes in 5 Gallon Barrels, 9 different brews
yellow Quartz;50g;
Onyx Goblet;25g;
Bottle of Common Wine;1g 4s;
Satin Robe;250g;
Kama (+3 weapon);18302g;This battered weapon once belonged to the legendary warrior Marget Yarren, who perished in the Whispering Woods.
Ring of Climbing;2500g;This battered ring is said to grant a single wish once every score of years.
Manual of Gainful Exercise (+1);27500g;This ornate item once belonged to the elf adventurer Dama, who vanished in the Lair of Poisonous Worms. (design provides clue to function)
Elixer of Truth;750g;This finely crafted item was created by the elf artificer Lella and 'improved' by Savaera from Yellowseed.
Staff of Healing (25 of 50 charges);13875g;This heavy staff is said to be imbued with thesirit of the halfling artificer Ilin Derhin, who slew the Leviathan of the Sea of Thieves.
Arcane Scroll (Detect Undead);25g;
Moonstone;50g;
White Onyx;50g;
Jade set of Animal figurines;250g;
Arcane Scroll;25g;Protection from chaos
Arcane Scroll;150g;Bull's strength
Bastard Sword;50335g;(+3 weapon, shicking burst) Every strike by this weapon is accompanied by a monstrous snarl
Potion of Mage armor;50g;This glowing potion causes a burning sensation when used.
Wand of Neutralize Poison;5460g;(13 of 50 charges) This distinctive wand also grants the magical ability to endure extreme cold for one hour per day.
Staff of Size Alteration;15660g;(27 of 50 charges) This elm staff once belonged to the legendary sorcerer Getema, who vanished in the Lair of the Wyrm Duke.
Potion of Endure elements;50g;This green tincture causes the air to become warm and humid when used.
Buckler;9165g;(+3),(+3 shield)
Potion of shield of faith;900g;(+5)
oil of bless weapon;100g;This white draught smells like mint.
Ring of the Ram (26 of 50 charges);4472g;A faceted ring, inlaid with diamond (design provides clue to function)
Rod of extend metamagic (lesser);3000g;"This heavy ash rod once belonged to the dwarf adventurer Rida Heredotr, who vanished in the Lost Chambers of the Wraith Countess."
Rod of the Python;13000g;This heavy rod also emits a thin ray of red light upon command. (inscription provides clue to function)
Rod of the Viper;19000g;This ash rod was created by a god of magic for his most loyal hero. (inscription provides clue to function)
Staff of Abjuration (16 of 50 charges);20800g;This masterwork staff is said to be imbued with thesirit of the renowned wizard Amrad, who slew the Leviathan of the Sea of Lauce. (design provides clue to function)
Potion of Cure Light Wounds;50g;This smoky liquid smells like fresh bread.
Potion of Darkvision;300g;This glowing elixir causes shadows to appear darker when used.
Amulet of Health (+4);16000g;This finely crafted item was taken from the crypt of the vampire Andimus.
Goggles of Night;12000g;This battered item was created by a god of magic for his most loyal champion.
Potion of Blur;300g;A clear ichor, contained in a faceted phial sealed with wax.
Potion of Jump;50g;A glowing ichor, contained in a crystal jar etched with holy symbols.
Rod of Cancellation;17000g;(Lawful Evil, Int 12, Wis 12, Cha 10, Ego 3, Empathy, Vision (30 ft.) and hearing, Bluff 10 ranks) A heavy rod, inlaid with emerald.
Rod of Flame Extinguishing;15000g;This thin blackthorn rod once belonged to the half-elf hero Gonerdhil, leader of the Council of the Emerald Bear.
Siangham (Small);50303g;(+5 weapon) A finely crafted weapon, engraved with runes of death.
Wand of Acid Arrow (12 of 50 charges);1080g;This heavy yew wand also repels small insects when held.
Potion of Remove Fear;50g;This indigo draught causes a burning sensation when used.
Yellow Topaz;500g;
Ashes of Al'ar;15000g;This box is magically sealed with 4 gem slots on each face. Legend has it that He who can imbue the case with the proper gem stones will be able to harness the power of Al'ar.
Hematite;10g;
Saronite Bar;200g;
Amulet of the Planes;120000g;
Book of Elementary Mathematics - Third Edition;25g;Third edition
Elixer of swimming;250g;
Spined Shield;5580g;This finely crafted shield once belonged to the illustrious paladin Gerxup, who vanished in the Chambers of Dark Sorrows.
Ring ofsell Turning;98280g;(inscription provides clue to function) This polished ring also repels small insects when held.
Ring of Kalecgos;14000g;Legen has it that this ring was forged in the burning breathe of the legendary dragon Kalecgos in his last moments of existance.
Dust of Disappearance;3500g;This ornate item once belonged to the legendary hero Cyne, leader of Athyer's Guild.
